protocol_id,protocol_name,core_eligible,core_universe_status,terminal_risk,stage2_terminal_mode_prob,composite_terminal_prob,composite_watch_band,decay_mode,evidence_level,evidence_summary,address_registry_status,candidate_address,candidate_source,adapter_address,adapter_role,adapter_evidence_status,adapter_source_type,adapter_source_note,validation_status,current_avax_core_tvl,current_total_core_tvl,current_avax_share,migrated_candidate,reason_1,reason_2,reason_3
aperture-lm,Aperture LM,1,core_eligible,0.1295161507004642,0.0530049086334551,0.0068649917344349,monitor,native_revival_or_threshold_boundary,methodology_backed,Adapter uses an Avalanche manager contract and aggregates strategy equity values directly from on-chain contract calls.,missing_address,,,,,,adapter_onchain_aggregate,Adapter uses an Avalanche manager contract and aggregates strategy equity values directly from on-chain contract calls.,,12726.46322,12726.46322,1.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
apex-defi,Apex DeFi,1,core_eligible,0.0648334142397647,0.2053375516406566,0.0133127345444977,monitor,resilient_or_unproven,model_only,No strong terminal decay signal under current v2 definition.,missing_address,,,,,,,,,16767.59776,16881.0273,0.9932806494543136,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
apex-pro,ApeX Pro,1,core_eligible,0.3913238226880953,0.5531887813661838,0.216475948592384,monitor,resilient_or_unproven,model_only,No strong terminal decay signal under current v2 definition.,missing_address,,,,,,,,,0.0,1430470.27653,0.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
apexswap,ApexSwap,1,core_eligible,0.9928720174777378,0.9952675525212252,0.9881733028018792,terminal_risk,resilient_or_unproven,model_only,No strong terminal decay signal under current v2 definition.,missing_address,,,,,,,,,69.73822,69.73822,1.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
aquabank,AquaBank,1,core_eligible,0.1213399165619813,0.2078801408522878,0.0252241589459095,monitor,resilient_or_unproven,model_only,No strong terminal decay signal under current v2 definition.,missing_address,,,,,,,,,928364.83235,928364.83235,1.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
ara-finance,Ara Finance,1,core_eligible,0.9660918462008412,0.9958514744226136,0.9620839894667724,terminal_risk,terminal_global_decay,model_only,Early-window terminal decay model indicates persistent decline.,missing_address,,,,,,,,,1488.42811,1488.42811,1.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
arable-protocol,Arable Protocol,1,core_eligible,0.9978576873940076,0.9996838323353292,0.9975421970593108,terminal_risk,terminal_global_decay,model_only,Early-window terminal decay model indicates persistent decline.,missing_address,,,,,,,,,0.0,0.0,0.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
archly-v2,Archly V2,1,core_eligible,0.7614162462544537,0.9801625254006736,0.7463116708098665,terminal_risk,terminal_global_decay,model_only,Early-window terminal decay model indicates persistent decline.,missing_address,,,,,,,,,96.93849,2005.47724,0.0483368686846827,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
arena-dex,Arena DEX,1,core_eligible,0.1293888097978047,0.1455115087787372,0.0188275609327636,monitor,resilient_or_unproven,model_only,No strong terminal decay signal under current v2 definition.,missing_address,,,,,,,,,2018456.77533,2018456.77533,1.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
arena-launch,Arena Launch,1,core_eligible,0.1775635243879342,0.1596328414278475,0.0283449699319888,monitor,resilient_or_unproven,model_only,No strong terminal decay signal under current v2 definition.,missing_address,,,,,,,,,32771.10499,32771.10499,1.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
arena-socialfi,Arena SocialFi,1,core_eligible,0.2464435713619268,0.0811324541363322,0.0199945717507154,monitor,resilient_or_unproven,model_only,No strong terminal decay signal under current v2 definition.,missing_address,,,,,,,,,194599.05022,194599.05022,1.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
arrow-markets,Arrow Markets,1,core_eligible,0.9966091128337112,0.9996838323353292,0.9962940172579172,terminal_risk,terminal_global_decay,model_only,Early-window terminal decay model indicates persistent decline.,missing_address,,,,,,,,,0.0,0.0,0.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
atlantis-loans,Atlantis Loans,1,core_eligible,0.7848780956199423,0.9785876626222968,0.7680720210361589,terminal_risk,resilient_or_unproven,model_only,No strong terminal decay signal under current v2 definition.,missing_address,,,,,,,,,2774.83427,2902.30833,0.9560783881290792,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
augmented-finance,Augmented Finance,1,core_eligible,0.8422372794104249,0.9848411127035358,0.8294698994149616,terminal_risk,terminal_global_decay,model_only,Early-window terminal decay model indicates persistent decline.,missing_address,,,,,,,,,164.84803,326.6517,0.5046599481955857,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
aura,Aura,1,core_eligible,0.078680197164714,0.0631390889412128,0.004967795966695,monitor,multichain_relocation,address_registered,Avalanche contract address confirmed and live code detected on C-Chain.,mapped_live_code,0xf23b4DB826DbA14c0e857029dfF076b1c0264843,adapter_source,0xf23b4DB826DbA14c0e857029dfF076b1c0264843,avax_factory,mapped_live_code,,,,0.0,104295852.65085,0.0,1,early drawdown stayed high,active-day density stayed low,peak arrived too early
autofarm,Autofarm,1,core_eligible,0.0317004900685786,0.0060175341910841,0.0001907587828617,monitor,native_revival_or_threshold_boundary,methodology_backed,Adapter contains an explicit avax masterchef and sums locked farm balances across strategy contracts on-chain.,missing_address,,,,,,adapter_onchain_aggregate,Adapter contains an explicit avax masterchef and sums locked farm balances across strategy contracts on-chain.,,59067.21786,5799888.08656,0.0101841995877257,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
avalaunch,Avalaunch,1,core_eligible,0.9964386026840152,0.9996838323353292,0.9961235610180168,terminal_risk,terminal_global_decay,model_only,Early-window terminal decay model indicates persistent decline.,missing_address,,,,,,,,,0.0,0.0,0.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
avalps,Avalps,1,core_eligible,0.9132445307170204,0.9894647988121658,0.9036233158522274,terminal_risk,terminal_global_decay,model_only,Early-window terminal decay model indicates persistent decline.,missing_address,,,,,,,,,4131.17966,4131.17966,1.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
avant-avbtc,Avant avBTC,1,core_eligible,0.1424740613117013,0.1965914044417566,0.0280091758097883,monitor,resilient_or_unproven,model_only,No strong terminal decay signal under current v2 definition.,missing_address,,,,,,,,,6348935.84094,6348935.84094,1.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
avant-avusd,Avant avUSD,1,core_eligible,0.0756148269408385,0.2580864076051498,0.0195151590468461,monitor,resilient_or_unproven,model_only,No strong terminal decay signal under current v2 definition.,missing_address,,,,,,,,,112618657.2759,112618657.2759,1.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
avaviking,AvaViking,1,core_eligible,0.9974309257667866,0.9950096486934168,0.9924533950431595,terminal_risk,terminal_global_decay,model_only,Early-window terminal decay model indicates persistent decline.,missing_address,,,,,,,,,42.5051,42.5051,1.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
avaware,Avaware,1,core_eligible,0.5403438862829931,0.9656119323267494,0.5217625041546663,elevated,terminal_global_decay,model_only,Early-window terminal decay model indicates persistent decline.,missing_address,,,,,,,,,143.54977,143.54977,1.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
axial,Axial,1,core_eligible,0.668914628774369,0.0721681117357549,0.0482743056710697,monitor,native_revival_or_threshold_boundary,weak_onchain_support,"Avalanche contract shows activity within the last 14,336 blocks.",mapped_live_code,0xcF8419A615c57511807236751c0AF38Db4ba3351,address_field_avax,,,,,,revival_weak_evidence,37337.00969,37337.00969,1.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
baguette,Baguette,1,core_eligible,0.7217555780124425,0.0233708269155035,0.016868024689028,monitor,native_revival_or_threshold_boundary,address_registered,Avalanche contract address confirmed and live code detected on C-Chain.,mapped_live_code,0xa1144a6a1304bd9cbb16c800f7a867508726566e,payload_field_confirmed,0xa1144a6a1304bd9cbb16c800f7a867508726566e,payload_explicit_avax_address,mapped_live_code,,,,21289.50526,21289.50526,1.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
baki,Baki,1,core_eligible,0.6065907735811211,0.9619881316553248,0.583533124956661,elevated,terminal_global_decay,model_only,Early-window terminal decay model indicates persistent decline.,missing_address,,,,,,,,,5961.75733,5961.75733,1.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
baklava-space,Baklava Space,1,core_eligible,0.0906136810970831,0.8981137230695184,0.0813813904911353,monitor,resilient_or_unproven,model_only,No strong terminal decay signal under current v2 definition.,missing_address,,,,,,,,,6421.93652,6422.5463500000005,0.9999050485637988,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
balanced-exchange,Balanced Exchange,1,core_eligible,0.0475294843612565,0.0973483112004626,0.0046269150347971,monitor,resilient_or_unproven,model_only,No strong terminal decay signal under current v2 definition.,missing_address,,,,,,,,,1693069.87654,3806305.74262,0.4448065896499966,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
balancer-v2,Balancer V2,1,core_eligible,0.0395122993788926,0.0340408150160176,0.0013450308740143,monitor,resilient_or_unproven,model_only,No strong terminal decay signal under current v2 definition.,missing_address,,,,,,,,,130875.47206,44862485.86844,0.0029172585853533,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
balancer-v3,Balancer V3,1,core_eligible,0.073663680886834,0.0850866378592883,0.0062677949390002,monitor,resilient_or_unproven,model_only,No strong terminal decay signal under current v2 definition.,missing_address,,,,,,,,,739307.19042,96558868.42568,0.0076565436450721,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
balmy,Balmy,1,core_eligible,0.5449085512335707,0.055643708415664,0.0303207325380427,monitor,multichain_relocation,methodology_backed,Adapter uses on-chain token-owner aggregation for protocol TVL.,missing_address,,none_found,,,,adapter_onchain_aggregate,Adapter uses on-chain token-owner aggregation for protocol TVL.,address_unavailable,44.08471,190891.74224,0.0002309408960423,1,early drawdown stayed high,active-day density stayed low,peak arrived too early
banksy-farm,Banksy Farm,1,core_eligible,0.95571145804034,0.9524528280400496,0.9102700810008012,terminal_risk,terminal_global_decay,model_only,Early-window terminal decay model indicates persistent decline.,missing_address,,,,,,,,,9371.94871,9371.94871,1.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
baymax,BayMax,1,core_eligible,0.6449790361641409,0.9873336253276545,0.6368094900362775,elevated,terminal_global_decay,model_only,Early-window terminal decay model indicates persistent decline.,missing_address,,,,,,,,,2.69078,2.69078,1.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
beefy,Beefy,1,core_eligible,0.1116957549389553,0.0290986124653863,0.0032501914869974,monitor,resilient_or_unproven,model_only,No strong terminal decay signal under current v2 definition.,missing_address,,,,,,,,,1904221.41172,144605617.69734,0.0131683778406558,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
benqi-lending,Benqi Lending,1,core_eligible,0.0517506753978549,0.0962299816061119,0.0049799665416394,monitor,resilient_or_unproven,model_only,No strong terminal decay signal under current v2 definition.,missing_address,,,,,,,,,137329231.48634,137329231.48634,1.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
benqi-staked-avax,Benqi Staked Avax,1,core_eligible,0.1008630035582076,0.1485804689791089,0.01498627237132,monitor,resilient_or_unproven,model_only,No strong terminal decay signal under current v2 definition.,missing_address,,,,,,,,,220728496.62846,220728496.62846,1.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
beta-finance-v1,Beta Finance V1,1,core_eligible,0.5948337482952212,0.484662938760765,0.288293872522843,monitor,terminal_global_decay,model_only,Early-window terminal decay model indicates persistent decline.,missing_address,,,,,,,,,7719.17494,511025.3695,0.0151052675673472,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
betswirl,BetSwirl,0,boundary_excluded,,,,not_core_eligible,not_core_eligible,not_eligible,Excluded from Avalanche core universe due to missing bare Avalanche history.,missing_address,,,,,,,,,0.0,0.0,0.0,0,,,
bifi,BiFi,1,core_eligible,0.0556251067147179,0.0247572373649368,0.0013771239703862,monitor,avax_side_decay_but_globally_alive,address_registered,"Avalanche contract address confirmed and live code detected on C-Chain, while Avalanche share remains materially weaker than global TVL.",mapped_live_code,0x446881360d6d39779D292662fca9BC85C5789dB3,adapter_source,0x446881360d6d39779D292662fca9BC85C5789dB3,avax_pool_from_adapter,mapped_live_code,adapter_onchain_aggregate,Adapter defines explicit Avalanche lending pool contracts and sums token balances directly across Avalanche pool owners.,,2116.22129,8176894.12575,0.0002588050251666,1,early drawdown stayed high,active-day density stayed low,peak arrived too early
bim,BIM,1,core_eligible,0.6317275491186038,0.1640182476359155,0.1036148455897651,monitor,resilient_or_unproven,model_only,No strong terminal decay signal under current v2 definition.,missing_address,,,,,,,,,0.0,639142.8914900001,0.0,1,early drawdown stayed high,active-day density stayed low,peak arrived too early
bitbond-lockers,Bitbond Lockers,1,core_eligible,0.7197177692878078,0.2483585680639146,0.1787480745904748,monitor,resilient_or_unproven,model_only,No strong terminal decay signal under current v2 definition.,missing_address,,,,,,,,,0.0,9519160.88601,0.0,1,early drawdown stayed high,active-day density stayed low,peak arrived too early
bitbond-sales,Bitbond Sales,1,core_eligible,0.9888982155971826,0.8861819431942272,0.8763437423192151,terminal_risk,resilient_or_unproven,model_only,No strong terminal decay signal under current v2 definition.,missing_address,,,,,,,,,0.0,55930.0914,0.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
blackhole-amm,Blackhole AMM,1,core_eligible,0.4459066433431378,0.1608869280005986,0.071740550022536,monitor,resilient_or_unproven,model_only,No strong terminal decay signal under current v2 definition.,missing_address,,,,,,,,,6394590.44492,6394590.44492,1.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
blackhole-clmm,Blackhole CLMM,1,core_eligible,0.1848761643578204,0.1463298012626398,0.027052892388679,monitor,resilient_or_unproven,model_only,No strong terminal decay signal under current v2 definition.,missing_address,,,,,,,,,33646582.96701,33646582.96701,1.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
blizz-finance,Blizz Finance,1,core_eligible,0.7874742273689799,0.9986864953526516,0.7864398763116638,terminal_risk,terminal_global_decay,model_only,Early-window terminal decay model indicates persistent decline.,missing_address,,,,,,,,,0.0,0.0,0.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
blizzard,Blizzard,1,core_eligible,0.8729256720473293,0.9852159357197872,0.8600202827999337,terminal_risk,terminal_global_decay,model_only,Early-window terminal decay model indicates persistent decline.,missing_address,,,,,,,,,2535.98902,2535.98902,1.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
boofinance,BooFinance,1,core_eligible,0.9368450396728338,0.1113309126450915,0.1042998132738036,monitor,native_revival_or_threshold_boundary,weak_onchain_support,"Avalanche contract shows activity within the last 65,536 blocks.",mapped_live_code,0xb00f1ad977a949a3ccc389ca1d1282a2946963b0,address_field_avax,,,,,,revival_weak_evidence,16674.1814,16674.1814,1.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
bridgers,Bridgers,1,core_eligible,0.2975691943497129,0.0888029083888182,0.026425009905172,monitor,resilient_or_unproven,model_only,No strong terminal decay signal under current v2 definition.,missing_address,,,,,,,,,14372.62965,1779653.90781,0.0080760813026205,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
brokkr-finance,Brokkr Finance,1,core_eligible,0.0784559218295442,0.8866439879632779,0.0695624714102822,monitor,resilient_or_unproven,model_only,No strong terminal decay signal under current v2 definition.,missing_address,,,,,,,,,6539.32634,7084.86885,0.9229989260845668,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
butterfly-finance,Butterfly Finance,1,core_eligible,0.9617495344159336,0.9962632197576112,0.9581556877576016,terminal_risk,terminal_global_decay,model_only,Early-window terminal decay model indicates persistent decline.,missing_address,,,,,,,,,17.75212,17.75212,1.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
button-wrappers,Button Wrappers,1,core_eligible,0.4917029730619643,0.7086194031403009,0.3484302672934806,monitor,terminal_global_decay,model_only,Early-window terminal decay model indicates persistent decline.,missing_address,,,,,,,,,121.86779,35637.69673,0.0034196314908704,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
bxh,BXH,1,core_eligible,0.609986559427375,0.7465583373062293,0.4553905515852485,elevated,terminal_global_decay,model_only,Early-window terminal decay model indicates persistent decline.,missing_address,,,,,,,,,3264.35217,41360.63090999999,0.0789241386840344,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
cables-finance,Cables Finance,1,core_eligible,0.1567708063074548,0.912139027848101,0.1429967708602447,monitor,resilient_or_unproven,model_only,No strong terminal decay signal under current v2 definition.,missing_address,,,,,,,,,0.0,0.0,0.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
cakedao,CakeDAO,1,core_eligible,0.9805270682145494,1.0,0.9805270682145494,terminal_risk,terminal_global_decay,model_only,Early-window terminal decay model indicates persistent decline.,missing_address,,,,,,,,,0.0,0.0,0.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
canary,Canary,1,core_eligible,0.2521882644151912,0.0801341371692499,0.020208888973122,monitor,resilient_or_unproven,model_only,No strong terminal decay signal under current v2 definition.,missing_address,,,,,,,,,25785.55847,26014.79137,0.9911883629301618,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
cavalre,CavalRe,1,core_eligible,0.1470811673080556,0.0947784382109115,0.0139401233276952,monitor,native_revival_or_threshold_boundary,methodology_backed,Adapter includes an explicit avax pool list and sums underlying asset balances from the pool contract on-chain.,missing_address,,,,,,adapter_onchain_aggregate,Adapter includes an explicit avax pool list and sums underlying asset balances from the pool contract on-chain.,,12361.95284,12361.95284,1.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
cesta-finance,Cesta Finance,1,core_eligible,0.2377276907125108,0.9298235904100008,0.221044814918185,monitor,resilient_or_unproven,model_only,No strong terminal decay signal under current v2 definition.,missing_address,,,,,,,,,0.0,0.0,0.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
chaingpt,ChainGPT,1,core_eligible,0.9334818689619652,0.9187296521999846,0.857617472806418,terminal_risk,terminal_global_decay,model_only,Early-window terminal decay model indicates persistent decline.,missing_address,,,,,,,,,0.0,38313.81886,0.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
champion-finance,Champion Finance,1,core_eligible,0.9981867329360612,0.9996838323353292,0.9978711385678036,terminal_risk,terminal_global_decay,model_only,Early-window terminal decay model indicates persistent decline.,missing_address,,,,,,,,,0.0,0.0,0.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
chikn-farm,Chikn Farm,1,core_eligible,0.998110057347924,0.9996838323353292,0.997794487222008,terminal_risk,terminal_global_decay,model_only,Early-window terminal decay model indicates persistent decline.,missing_address,,,,,,,,,0.0,0.0,0.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
cian-automation,CIAN Automation,1,core_eligible,0.0898435239581194,0.082643163959023,0.0074249530811272,monitor,resilient_or_unproven,model_only,No strong terminal decay signal under current v2 definition.,missing_address,,,,,,,,,938760.61484,1037009.9744,0.9052570737163392,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
clearpool-lending,Clearpool Lending,1,core_eligible,0.5614632720919908,0.1034644517058359,0.0580914895999623,monitor,multichain_relocation,address_registered,Avalanche contract address confirmed and live code detected on C-Chain.,mapped_live_code,0x8E557363AC9E5cbf09A2616A302CA3c8f6ab2b7A,adapter_source,0x8E557363AC9E5cbf09A2616A302CA3c8f6ab2b7A,avax_vault_factory,mapped_live_code,,,no_code_on_avax,46.05894,628250.19973,7.331305269746755e-05,1,early drawdown stayed high,active-day density stayed low,peak arrived too early
cleopatra-dao,Cleopatra DAO,1,core_eligible,0.9617112611311396,1.0,0.9617112611311396,terminal_risk,terminal_global_decay,model_only,Early-window terminal decay model indicates persistent decline.,missing_address,,,,,,,,,0.0,0.0,0.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
clovis,Clovis,1,core_eligible,0.5680627666144888,0.1048963547234543,0.0595877134719803,monitor,resilient_or_unproven,model_only,No strong terminal decay signal under current v2 definition.,missing_address,,,,,,,,,1233.50354,280106.02446,0.0044037022851543,1,early drawdown stayed high,active-day density stayed low,peak arrived too early
coinscope,Coinscope,1,core_eligible,0.965410338080819,0.9304899865029675,0.8983046524506467,terminal_risk,terminal_global_decay,model_only,Early-window terminal decay model indicates persistent decline.,missing_address,,,,,,,,,0.0,14965.52691,0.0,0,early drawdown stayed high,active-day density stayed low,peak arrived too early
